Week,Tier 4,Tier 5,Spend,RB Conv,RB CPO,AOV,ROAS
6/24/24-6/30/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - 21df - a8-veronica-ugc-clothing size - dp (buy now)_6.28.24,105.520000457763,0.0,,,
6/24/24-6/30/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - 21df - a7-veronica-ugc-pounds lost - dp (buy now)_6.28.24,72.9100017547607,0.0,,,
6/24/24-6/30/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - 21df - a5-veronica-ugc-mother - dp (buy now)_6.28.24,32.1000003814697,0.0,,,
6/24/24-6/30/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - 21df - a6-veronica-ugc-nutrition plan - dp (buy now)_6.28.24,27.5599999427795,0.0,,,
6/24/24-6/30/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - 21df - a27-cydrose-pregnancy - dp (buy now)_6.28.24,14.579999923706,0.0,,,
6/24/24-6/30/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set Total,,2106.0400114059344,20.441424533027718,103.02804523252054,59.08861784605956,0.5735197412772847
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - 21df - a7-veronica-ugc-pounds lost - dp (buy now)_6.28.24,772.069993972778,0.0,,,
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set,bodi_static_get-offer_andg - 21df - 21dayfix-simple-static - dp (buy now)_6.21.24,702.9700050354,9.72919092545219,72.25369616258483,65.32416569126389,0.9040944499817954
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - 21df - a8-veronica-ugc-clothing size - dp (buy now)_6.28.24,294.209997177124,0.0,,,
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - 21df - a5-veronica-ugc-mother - dp (buy now)_6.28.24,208.679998397827,0.0,,,
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - 21df - 21day-ugc-starr2 - dp (buy now)_6.21.24,157.560002326965,0.259736296389734,606.6152652401973,51.54712588501159,0.0849749896494952
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - 21df - 21day-ugc-starr1 - dp (buy now)_6.21.24,96.9399986267089,1.12379546448447,86.26124743365035,110.5980040778956,1.2821285034506875
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - 21df - a6-veronica-ugc-nutrition plan - dp (buy now)_6.28.24,55.3700001239776,0.0,,,
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - 21df - a27-cydrose-pregnancy - dp (buy now)_6.28.24,36.5999995470047,0.0,,,
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set Total,,2324.399995207785,11.112722686326396,209.165661811019,69.58056066118516,0.3326576650236746
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - p90x - p90x-nogym1-mgfx - v2 copy test - dp (3 low payments)_6.24.24,588.400001525878,4.22631718547844,139.2228684462234,52.25735033053157,0.3753503351406427
